pair,source,target,initial_fitness,initial_rmse,final_fitness,final_rmse,improvement_fitness,improvement_rmse
77-78,pointcloud_0312.pcd,pointcloud_0308.pcd,0.00010155377272265665,0.0067888262163556794,0.00010155377272265665,0.0,0.0,0.0067888262163556794
78-79,pointcloud_0316.pcd,pointcloud_0312.pcd,0.0,0.0,0.0,0.0,0.0,0.0
79-80,pointcloud_0320.pcd,pointcloud_0316.pcd,0.0,0.0,0.0,0.0,0.0,0.0
80-81,pointcloud_0324.pcd,pointcloud_0320.pcd,0.0002026958548697679,0.00968245210362355,0.0002026958548697679,0.005442860118330263,0.0,0.004239591985293287
81-82,pointcloud_0328.pcd,pointcloud_0324.pcd,0.0002035416242621616,0.009285830286026704,0.0002035416242621616,0.0004407938657941246,0.0,0.00884503642023258
82-83,pointcloud_0332.pcd,pointcloud_0328.pcd,0.0,0.0,0.0,0.0,0.0,0.0
83-84,pointcloud_0336.pcd,pointcloud_0332.pcd,0.0,0.0,0.0,0.0,0.0,0.0
84-85,pointcloud_0340.pcd,pointcloud_0336.pcd,0.00010141987829614604,0.008042834449006758,0.00010141987829614604,0.0,0.0,0.008042834449006758
85-86,pointcloud_0344.pcd,pointcloud_0340.pcd,0.0,0.0,0.0,0.0,0.0,0.0
86-87,pointcloud_0348.pcd,pointcloud_0344.pcd,0.0,0.0,0.0,0.0,0.0,0.0
87-88,pointcloud_0352.pcd,pointcloud_0348.pcd,0.0005052546483427648,0.008200590438118186,0.0005052546483427648,0.004968573865104541,0.0,0.003232016573013645
88-89,pointcloud_0356.pcd,pointcloud_0352.pcd,0.0004057618178129438,0.008056529557417706,0.0005072022722661798,0.004059427739520588,0.00010144045445323595,0.0039971018178971175
89-90,pointcloud_0360.pcd,pointcloud_0356.pcd,0.000717727878601456,0.007534678825687444,0.0008202604326873783,0.007074920471638005,0.00010253255408592234,0.0004597583540494393
90-91,pointcloud_0364.pcd,pointcloud_0360.pcd,0.00010196798205363516,0.006007919948180801,0.0003059039461609055,0.0024835072576476435,0.00020393596410727034,0.0035244126905331573
91-92,pointcloud_0368.pcd,pointcloud_0364.pcd,0.0001015950421619425,0.007894753720294106,0.0001015950421619425,0.0,0.0,0.007894753720294106
92-93,pointcloud_0372.pcd,pointcloud_0368.pcd,0.00030832476875642344,0.007788348146926238,0.00041109969167523125,0.005912457341053039,0.00010277492291880781,0.0018758908058731988
93-94,pointcloud_0376.pcd,pointcloud_0372.pcd,0.00020159258139300473,0.00878477890643593,0.0006047777441790142,0.005660965277255886,0.0004031851627860095,0.0031238136291800436
94-95,pointcloud_0380.pcd,pointcloud_0376.pcd,0.0001007252215954875,0.009496313355983324,0.00030217566478646255,0.004765961857236775,0.00020145044319097504,0.004730351498746549
95-96,pointcloud_0384.pcd,pointcloud_0380.pcd,0.0004073319755600815,0.006541433152650023,0.0006109979633401223,0.00495369530496397,0.00020366598778004077,0.001587737847686053
96-97,pointcloud_0388.pcd,pointcloud_0384.pcd,0.00010167768174885612,0.00955233788745753,0.0003050330452465684,0.002934380064104942,0.00020335536349771227,0.006617957823352588
97-98,pointcloud_0392.pcd,pointcloud_0388.pcd,0.00020383204239706482,0.006613716453613876,0.00020383204239706482,0.00028032639254136087,0.0,0.0063333900610725155
98-99,pointcloud_0396.pcd,pointcloud_0392.pcd,0.00010112245929821013,0.0065203017718496285,0.00010112245929821013,0.0,0.0,0.0065203017718496285
